"name","link"
"Merapi Volcano","/Attraction_Review-g294230-d1125234-Reviews-Merapi_Volcano-Yogyakarta_Region_Java.html"
"Ullen Sentalu Museum","/Attraction_Review-g294230-d1738026-Reviews-Ullen_Sentalu_Museum-Yogyakarta_Region_Java.html"
"Malioboro Road","/Attraction_Review-g294230-d447268-Reviews-Malioboro_Road-Yogyakarta_Region_Java.html"
"Ramayana Ballet at Prambanan","/Attraction_Review-g2304080-d7055583-Reviews-Ramayana_Ballet_at_Prambanan-Sleman_Sleman_District_Yogyakarta_Region_Java.html"
"Pinus Pengger Nature Tourism","/Attraction_Review-g2304084-d12002655-Reviews-Pinus_Pengger_Nature_Tourism-Bantul_Yogyakarta_Region_Java.html"
"Sewu Temple","/Attraction_Review-g294230-d2140176-Reviews-Sewu_Temple-Yogyakarta_Region_Java.html"
"Taman Pintar Science Park","/Attraction_Review-g14782503-d3513937-Reviews-Taman_Pintar_Science_Park-Yogyakarta_Yogyakarta_Region_Java.html"
"Ganjuran Church","/Attraction_Review-g2304084-d7393510-Reviews-Ganjuran_Church-Bantul_Yogyakarta_Region_Java.html"
"Yogyakarta Palace","/Attraction_Review-g14782503-d379335-Reviews-Yogyakarta_Palace-Yogyakarta_Yogyakarta_Region_Java.html"
"Yogyakarta Monument","/Attraction_Review-g14782503-d8685882-Reviews-Yogyakarta_Monument-Yogyakarta_Yogyakarta_Region_Java.html"
"Plaosan Temple","/Attraction_Review-g294230-d2140054-Reviews-Plaosan_Temple-Yogyakarta_Region_Java.html"
"Wisata Seribu Batu Songgo Langit","/Attraction_Review-g2304084-d12377419-Reviews-Wisata_Seribu_Batu_Songgo_Langit-Bantul_Yogyakarta_Region_Java.html"
"Bukit Panguk Kediwung","/Attraction_Review-g2304084-d12196184-Reviews-Bukit_Panguk_Kediwung-Bantul_Yogyakarta_Region_Java.html"
"Jogokariyan Mosque","/Attraction_Review-g14782503-d15531000-Reviews-Jogokariyan_Mosque-Yogyakarta_Yogyakarta_Region_Java.html"
"UGM Campus Mosque","/Attraction_Review-g5074492-d13813670-Reviews-UGM_Campus_Mosque-Depok_Sleman_District_Yogyakarta_Region_Java.html"
"Jogja Bay Waterpark","/Attraction_Review-g294230-d9600871-Reviews-Jogja_Bay_Waterpark-Yogyakarta_Region_Java.html"
"Pule Payung","/Attraction_Review-g2304082-d12881982-Reviews-Pule_Payung-Kulon_Progo_Yogyakarta_Region_Java.html"
"Affandi Museum","/Attraction_Review-g5074492-d3618829-Reviews-Affandi_Museum-Depok_Sleman_District_Yogyakarta_Region_Java.html"
"Sosrowijayan Street","/Attraction_Review-g14782503-d10440456-Reviews-Sosrowijayan_Street-Yogyakarta_Yogyakarta_Region_Java.html"
"De Mata Trick Eye 3D Museum","/Attraction_Review-g294230-d6861628-Reviews-De_Mata_Trick_Eye_3D_Museum-Yogyakarta_Region_Java.html"
"Warung Boto","/Attraction_Review-g14782503-d14826705-Reviews-Warung_Boto-Yogyakarta_Yogyakarta_Region_Java.html"
"Beringharjo Market","/Attraction_Review-g294230-d450887-Reviews-Beringharjo_Market-Yogyakarta_Region_Java.html"
"Water Castle (Tamansari)","/Attraction_Review-g294230-d379334-Reviews-Water_Castle_Tamansari-Yogyakarta_Region_Java.html"
"Wediombo Beach","/Attraction_Review-g3597554-d3845775-Reviews-Wediombo_Beach-Wonosari_Yogyakarta_Region_Java.html"
"Pindul Cave","/Attraction_Review-g294230-d3874301-Reviews-Pindul_Cave-Yogyakarta_Region_Java.html"
"Ijo Temple","/Attraction_Review-g294230-d4351915-Reviews-Ijo_Temple-Yogyakarta_Region_Java.html"
"Ratu Boko Temple","/Attraction_Review-g294230-d2140192-Reviews-Ratu_Boko_Temple-Yogyakarta_Region_Java.html"
"Sonobudoyo Museum","/Attraction_Review-g294230-d4131228-Reviews-Sonobudoyo_Museum-Yogyakarta_Region_Java.html"
"Becici Pine Peak","/Attraction_Review-g2304084-d8608120-Reviews-Becici_Pine_Peak-Bantul_Yogyakarta_Region_Java.html"
"Gembira Loka Zoo","/Attraction_Review-g294230-d3949047-Reviews-Gembira_Loka_Zoo-Yogyakarta_Region_Java.html"
